	alamat	judul								1st glance	2nd glance
153	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Pemerintah Kembangkan Serum Anticovid-19								pos	
154	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	4 Prototipe Ventilator Sedang Diujicoba Kementerian Kesehatan								pos	
155	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	UPDATE 3 Mei: Pasien Positif Covid-19 di Depok Tambah 2 Jadi 309 Orang								neg	
156	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Menristek Sebut Uji Coba Terapi Plasma Darah Covid-19 Cukup Melegakan								pos	
157	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Mei Ini, Pemerintah Produksi 10.000 Kit untuk Rapid Test Covid-19 dan 50.000 Kit PCR								pos	
158	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Sebanyak 112.965 Spesimen Pasien Terkait Covid-19 Telah Diperiksa								pos	
159	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Ini 5 Alasan RUU Cipta Kerja Digugat ke PTUN								x	
160	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Pemerintah: Optimisme Redakan Covid-19 di Juli Tantangan Bersama								pos	
161	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	UPDATE 3 Mei: Jumlah ODP 236.369 dan PDP 23.130 Orang								net	
162	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Sebaran Penambahan 211 Pasien Sembuh Covid-19, di DKI 120 Orang								pos	
163	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	PAN Akan Bahas Perppu Penanganan Covid-19 dan RUU Cipta Kerja di Rakernas								pos	
164	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	Sebaran 349 Kasus Baru Covid-19 di 22 Provinsi, Jatim Tertinggi								net	
165	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=1	RUU Cipta Kerja Digugat ke PTUN Jakarta								x	
166	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	UPDATE: Tambah 211, Total Pasien Covid-19 yang Sembuh 1.876 Orang 								pos	
167	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	UPDATE: Kini Ada 845 Pasien Covid-19 Meninggal di Indonesia								neg	
168	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	UPDATE: Kini Ada 11.192 Kasus Covid-19 di Indonesia, Bertambah 349								neg	
169	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Imbas Virus Corona, PAN Gelar Rakernas Lewat Video Conference								net	
170	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	UPDATE 3 Mei: 4.417 Kasus Covid-19 di DKI, 621 Sembuh, 410 Meninggal								net	
171	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	"Buku ""Kamu Pahlawanku"" Diluncurkan, untuk Bantu Anak Pahami Covid-19 "								pos	
172	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Covid-19 DIprediksi Berakhir Juni, Yurianto: Sesuai Perhitungan Pakar								pos	
173	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	"Aplikasi ""Bersatu Lawan Covid"", Akses Data hingga Pantau Pasien Bisa Lebih Mudah "								pos	
174	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	"Waspadai Fenomena ""Menekan Balon"" Saat Penerapan PSBB, Apa Artinya?"								net	
175	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Yurianto: Masyarakat Jangan Hanya Dijejali Janji Kapan Virus Corona Berakhir								net	
176	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Penerapan PSBB secara Maksimal Dinilai Efektif Tekan Penyebaran Covid-19								pos	
177	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Tambah 15, Jumlah Pasien Positif di RSD Covid-19 Wisma Atlet Kini 739 Orang								neg	
178	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Mensos: Tak Usah Ribut Data Bansos, Semua Bisa Diselesaikan Kekeluargaan								x	
179	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Survei: 92,8 Persen Masyarakat Dukung Karantina Wilayah								pos	
180	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=2	Ini Strategi Baru Pemerintah dalam Penanganan Covid-19								pos	
181	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	Hari Ini, 239 WNI ABK yang Dipulangkan dari Jerman Tiba di Tanah Air								x	
