	alamat	judul	
113	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
114	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
115	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
116	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
117	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
118	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
119	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
120	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=3	NA	
121	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
122	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
123	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
124	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
125	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
126	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
127	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
128	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
129	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
130	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
131	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
132	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
133	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
134	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
135	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=4	NA	
136	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
137	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
138	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
139	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
140	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
141	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
142	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
143	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
144	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
145	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
146	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
147	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
148	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
149	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
150	https://indeks.kompas.com/?site=nasional&date=2021-5-2&page=5	NA	
151	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Varian Corona B.1.617 Terdeteksi di RI, Anggota DPR: Tingkatkan Disiplin Prokes	
152	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Tim Penghubung Dibentuk, Tindak Lanjuti Rekomendasi KY kepada MA	
153	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Waketum Gerindra Sufmi Dasco Ahmad Laporkan Petinggi KNPI ke Bareskrim	
154	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Litbang Kompas: Tingkat Kepuasan Publik terhadap Jokowi-Ma'ruf di Bidang Polkam Naik, Ekonomi Turun	
155	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Selama 2021, KY Usulkan Sanksi untuk 48 Hakim	
156	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Ini Spesifikasi Kapal China yang Bantu Evakuasi KRI Nanggala di Perairan Bali	
157	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Survei Litbang Kompas: Tingkat Kepuasan Publik terhadap Kinerja Pemerintah Meningkat	
158	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Silaturahmi ke DDII, PKS Minta Dukungan soal RUU Perlindungan Tokoh Agama	
159	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	UPDATE: 48.199 Spesimen Terkait Covid-19 Diperiksa dalam Sehari	
160	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Polri Pastikan Tak Semua Pendukung Kemerdekaan Papua Diproses Hukum dengan UU Terorisme	
161	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Mendagri Minta Warga Tak Abai Protokol Kesehatan Jelang Idul Fitri	
162	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Survei Litbang Kompas: Tingkat Kepuasan Publik terhadap Jokowi-Ma'ruf 69,1 Persen	
163	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Doni Monardo Prediksi Terjadi 93 Persen Peningkatan Kasus Covid-19 jika Mudik Tak Dilarang	
164	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Safari Politik PKS, Pengamat: Koalisi Menuju Pemilu 2024 Tidak Mudah	
165	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=1	Wamenkes Harap Aplikasi Jaga Covid-19 Jadi Salah Satu Solusi Penanganan Pandemi	
166	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	UPDATE: Sebaran 4.730 Kasus Baru Covid-19, Tertinggi di Jawa Barat	
